Full Title,Short Title,Subject,Primo Record Permalink,Original Item Description,Original Item ID,Digital ID,Digital Format,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
"Carte marine de la Mer Caspiene / par Mr. Carl Vanverden en 1719, 1720 et 1721, et reduite au meridien de Paris par Guillaume Delisle",Caspian Sea 1723,Nautical charts--Caspian Sea--Early works to 1800; Caspian Sea--Maps--Early works to 1800,,1 map on 2 sheets : hand color ; 89 x 59 cm,Rare 484.9 B-1723,am004762,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/276,276,268.jp2,/agdm/image/268.jp2
"Al molto magco. ... o la carta del navigare ... / del s. Giacomo Home[m] portughese ... ; d.v. ... Paolo Furlani, Veronese ; Claudij Ducheti formis.",Mediterranean Sea Region 1569,Nautical charts--Mediterranean Region--Early works to 1800;  Mediterranean Region--Maps--Early works to 1800,,1 map : color ; 50 x 84 cm.,(AGS) (RARE) 715 A-1569,am004599,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/855,855,847.jp2,/agdm/image/847.jp2
"Chart of Green Bay / surveyed under the direction of Capt. W.G. Williams, assisted by Lieut. J.W. Gunnison, Corps of Topl. Engrs. 1845.","Green Bay, Wisconsin 1846",Nautical charts--Green Bay (Wis. and Mich.),,1 map ; 57 x 88 cm.,(AGS) (RARE) 893-d .G7B3 A-1846,am008625,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/927,927,919.jp2,/agdm/image/919.jp2
"Lake Huron / surveyed by Captn. H.W. Bayfield, R.N. 1822",Lake Huron 1828-1848,"Nautical charts--Huron, Lake (Mich. and Ont.); Huron, Lake (Mich. and Ont.)--Navigation;",,"1 map on 5 sheets ; 131 x 136 cm., sheets 60 x 47 cm. or smaller.",(AGS) (RARE) 100-b A-var Huron   a,am010342; am010343; am010344; am010345; am010346,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1013,1013,1005.cpd,/agdm/image/1005.cpd
"San Juan Harbor, Porto Rico / published ... by the [U.S.] Coast and Geodetic Survey, O.H. Tittmann, Superintendent ; interior topography from Spanish surveys ; corrections in harbor from U.S. Engineers ... to 1911","San Juan, Puerto Rico 1911",Nautical charts--Puerto Rico--San Juan Bay; Harbors--Puerto Rico--San Juan--Maps; Sailing--Puerto Rico--San Juan Bay--Maps; Lighthouses--Puerto Rico--San Juan Bay--Maps; San Juan (P.R.)--Maps; San Juan Bay (P.R.)--Maps;,,"1 map : color ; 82 x 98 cm, on sheet 92 x 112 cm.",(AGS) (RARE) Chart CS no. 908,am006282,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1124,1124,1116.jp2,/agdm/image/1116.jp2
"A chart of Delaware Bay and River, containing a full & exact description of the shores, creeks, harbours, soundings, shoals, sands, and bearings of the most considerable land marks, from the cape to Philadelphia. Taken from the original chart published in Philadelphia by Joshua Fisher ; engraved by William Faden",Delaware Bay 1776,Nautical charts--Delaware Bay (Del. and N.J.);  Nautical charts--Delaware River (N.Y.-Del. and N.J.);  Delaware Bay (Del. and N.J.)--Maps;  Delaware River (N.Y.-Del. and N.J.)--Maps;  Early maps to 1800;,,1 map ; 48 x 69 cm.,821-c .D4B3 A-1776,am011112,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1178,1178,1170.jp2,/agdm/image/1170.jp2
"Reconnaissance of Port Townshend [sic.], Washington Ter. / A.D. Bache, Supdt. ; geographical positions by G. Davidson, Assistant U.S.C.S. ; hydrography by the party under the command of Lieut. J. Alden, U.S.N. Assistant","Port Townsend, Washington 1854",Nautical charts--Washington (State)--Port Townsend; Harbors--Washington (State)--Port Townsend--Maps; Maps;,,1 map ; 39 x 26 cm.,Chart CS Pacific Port Townsend 1854,am004965,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1300,1300,1292.jp2,/agdm/image/1292.jp2
"Wind and current chart of the North Atlantic / by M.F. Maury, A.M. Lieut. U.S. Navy",Maury's wind and current charts 1850,Nautical charts; Ocean travel--Maps; Winds--Maps; Ocean currents--Maps; Marine meteorology--Maps; Whales--Maps;,,90 x 62 cm. or smaller,700 A-Var Maury Charts,am003563,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1483,1483,1475.jp2,/agdm/image/1475.jp2
"Maury's wind & current chart, sheet no. 5",Maury's wind and current charts 1849,Nautical charts; Ocean travel--Maps; Winds--Maps; Ocean currents--Maps; Marine meteorology--Maps; Whales--Maps;,,1 map ; 90 x 62 cm. or smaller,700 A-Var Maury Charts,am003635,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1484,1484,1476.jp2,/agdm/image/1476.jp2
"Maury's wind & current chart, 3d. edition 1852, no. 2, series A",Maury's wind and current charts 1852,Nautical charts; Ocean travel--Maps; Winds--Maps; Ocean currents--Maps; Marine meteorology--Maps; Whales--Maps;,,1 map ; 90 x 62 cm. or smaller,700 A-Var Maury Charts,am003564,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1485,1485,1477.jp2,/agdm/image/1477.jp2
"Map of the outlet of Lake Muskegon, Michigan / surveyed and drawn under the direction of J.J. Abert by John R. Bowes ; assisted by W.R. Bowes and P.L. Wells.",Michigan 1849,Nautical charts--Michigan--Muskegon Lake; Muskegon Lake (Mich.)--Maps,,1 map : color ; 43 x 58 cm.,AGS RARE 843-c .M87 H-1849,am004262,image/tif; Image/jp2,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1541,1541,1533.jp2,/agdm/image/1533.jp2
