join,envelope,001,005,007,008,034,035,040,043,049,110,245,246,250,255,264,300,336,337,338,500,530,650,655,710,810,856,946
23455,"E1292700,E1313000,S0024000,S0041500",991012587209102124,20220715095033.0,aj#aanzn,171221s1931    ne gdek   a     0   dut d,1\ $a a $b 200000 $d E1292700 $e E1313000 $f S0024000 $g S0041500,\\ $a (OCoLC)1016165213 | \\ $a (OCoLC)on1016165213 | \\ $a (EXLNZ-01UWI_NETWORK)9912421789202121 | \\ $a (01UWI_ML)991012587209102124,\\ $a GZN $e rda $c GZN,\\ $a a-io---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Moluksche Archipel, Ceram, oostblad / $c 's-Gravenhage, uitgegeven in Feb. 1931 door het Ministerie van Defensie, Afdeeling Hydrographie.", ,\\ $a Bijgewerkt ... 1931.,"\\ $a Scale 1:200,000 $c (E 129°27ʹ00ʺ--E 131°30ʹ00ʺ/S 2°40ʹ00ʺ--S 4°15ʹ00ʺ).","\1 $a 's-Gravenhage : $b Ministerie van Defensie, Afdeeling Hydrographie, $c 1931.","\\ $a 1 map ; $c 89 x 116 cm, on sheet 92 x 118 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Relief shown by spot heights and hachures. Depths shown by bathymetric isolines and soundings. | \\ $a Includes 13 inset maps: Z. kust Ceram, Reede Tehoroe -- Z. kust Ceram, Reede Kisalaoet -- O. kust Ceram, Ingelas en Boela Baai -- Z. kust Ceram, Reede Kilmoeri -- Z. kust Ceram, Reede Oendoer -- N. kust Ceram, Baaien van Wahai en Hatiling -- Zuidkust Ceram -- Straat Kilwaroe -- Oostkust Ceram, mond Masiwang R. tot Kilmoei -- Gorong Eiln., Reede Amar -- O. kust Ceram, Reede Waroe -- Gorong Eiln., Reede Kailakat -- Gorong Eiln. Reede Ondoer. | \\ $a ""H. Munzinger et E. Monier, graveurs à Paris."" | \\ $a ""Departement van Defensie, 5 Dec. 1931, Afd. Hydrographie"" -- stamped in lower right margin. | \\ $a ""399.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Indonesia $z Ceram Island. | \0 $a Coasts $z Indonesia $z Ceram Island $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Defensie., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23455/rec/40,\\ $a agslscn agsmap026957 $9 LOCAL
23458,"E1222000,E1234000,S0001000,S0012500",991012587209202124,20220715095139.0,aj#canzn,171221s1926    ne gdek   a     0   dut d,1\ $a a $b 200000 $d E1222000 $e E1234000 $f S0001000 $g S0012500,\\ $a (OCoLC)1016164522 | \\ $a (OCoLC)on1016164522 | \\ $a (EXLNZ-01UWI_NETWORK)9912421387602121 | \\ $a (01UWI_ML)991012587209202124,\\ $a GZN $e rda $c GZN,\\ $a a-io---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Noordkust Séran / $c 's-Gravenhage, uitgegeven in Juni 1925 door het Ministerie van Marine, Afdeeling Hydrographie.", ,\\ $a Bijgewerkt ... 1926.,"\\ $a Scale 1:200,000 $c (E 127°45ʹ00ʺ--E 130°35ʹ00ʺ/S 2°40ʹ00ʺ--S 3°13ʹ00ʺ).","\1 $a 's-Gravenhage : $b Ministerie van Marine, Afdeeling Hydrographie, $c [1926]","\\ $a 1 map : $b color ; $c 33 x 164 cm, on sheet 71 x 108 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Relief shown by spot heights and hachures. Depths shown by bathymetric isolines and soundings. | \\ $a Includes 9 inset maps: Reede Asaoedi -- Baaien van Sawai en Bèsi -- Ingeleas Baai -- Poelau Toedjoeh -- Baai van Hatiling -- Baai van Wahai -- Baai van Kotania -- Reede Paoni -- Boela Baai. | \\ $a Selected lights shown in pink. | \\ $a Map in 2 segments. | \\ $a ""Departement van Marine, 7 Apr. 1926, Afd. Hydrographie"" -- stamped in lower right margin. | \\ $a ""398.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Indonesia $z Ceram Sea. | \0 $a Nautical charts $z Indonesia $z Ceram Island. | \0 $a Coasts $z Indonesia $z Ceram Island $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Marine., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23458/rec/43,\\ $a agslscn agsmap026955 $9 LOCAL
23456,"E1273800,E1293500,S0022500,S0035500",991012587209302124,20220715095017.0,aj#aanzn,171221s1939    ne gdek   a     0   dut d,1\ $a a $b 200000 $d E1273800 $e E1293500 $f S0022500 $g S0035500,\\ $a (OCoLC)1016163864 | \\ $a (OCoLC)on1016163864 | \\ $a (EXLNZ-01UWI_NETWORK)9912421388002121 | \\ $a (01UWI_ML)991012587209302124,\\ $a GZN $e rda $c GZN,\\ $a a-io---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Moluksche Archipel, Ceram, westblad / $c 's-Gravenhage, uitgegeven in Nov. 1930 door het Ministerie van Defensie, Afdeeling Hydrographie.", ,\\ $a Bijgewerkt ... 1939.,"\\ $a Scale 1:200,000 $c (E 127°38ʹ00ʺ--E 129°35ʹ00ʺ/S 2°25ʹ00ʺ--S 3°55ʹ00ʺ).","\1 $a 's-Gravenhage : $b Ministerie van Defensie, Afdeeling Hydrographie, $c [1939]","\\ $a 1 map ; $c 84 x 119 cm, on sheet 87 x 123 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Relief shown by spot heights and hachures. Depths shown by bathymetric isolines and soundings. | \\ $a Includes 10 inset maps: Reede Paoni -- Baaien van Sawai en Besi -- Baai van Kotania -- Reede Asaoedi -- Baai van Amahai -- Lobang Haja -- Reede Ambon -- Reede Loki -- Reede Saparoea -- Reede Piroe. | \\ $a Selected lights shown in orange. | \\ $a ""Departement van Defensie, 9 Oct. 1939, Afd. Hydrographie"" -- stamped in lower right margin. | \\ $a ""398.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Indonesia $z Ceram Island. | \0 $a Coasts $z Indonesia $z Ceram Island $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Defensie., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23456/rec/41,\\ $a agslscn agsmap026956 $9 LOCAL
23457,"E1264500,E1292000,N0024000,S0003000",991012587209402124,20220715095008.0,aj#aanzn,171221s1925    ne gdek   a     0   dut d,1\ $a a $b 500000 $d E1264500 $e E1292000 $f N0024000 $g S0003000,\\ $a (OCoLC)1016163866 | \\ $a (OCoLC)on1016163866 | \\ $a (EXLNZ-01UWI_NETWORK)9912421085602121 | \\ $a (01UWI_ML)991012587209402124,\\ $a GZN $e rda $c GZN,\\ $a a-io---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Moluksche Archipel, Halmahera / $c 's-Gravenhage, uitgegeven in M'rt 1923 door het Ministerie van Marine, Afdeeling Hydrographie.", ,\\ $a Bijgewerkt ... 1925.,"\\ $a Scale 1:500,000 $c (E 126°45ʹ00ʺ--E 129°20ʹ00ʺ/N 2°40ʹ00ʺ--S 0°30ʹ00ʺ).","\1 $a 's-Gravenhage : $b Ministerie van Marine, Afdeeling Hydrographie, $c [1925]","\\ $a 1 map ; $c 73 x 60 cm, on sheet 81 x 66 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Relief shown by spot heights and hachures. Depths shown by bathymetric isolines and soundings. | \\ $a Includes pasteover and index of charts. | \\ $a ""Departement van Marine, 7 Apr. 1925, Afd. Hydrographie"" -- stamped in lower right margin. | \\ $a ""397.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Indonesia $z Halmahera. | \0 $a Coasts $z Indonesia $z Halmahera $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Marine., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23457/rec/42,\\ $a agslscn agsmap026953 $9 LOCAL
23462,"E1255300,E1274200,S0024400,S0040000",991012587209502124,20220715095032.0,aj#aanzn,171221s1939    ne gdek   a     0   dut d,1\ $a a $b 200000 $d E1255300 $e E1274200 $f S0024400 $g S0040000,\\ $a (OCoLC)1016163243 | \\ $a (OCoLC)on1016163243 | \\ $a (EXLNZ-01UWI_NETWORK)9912421182602121 | \\ $a (01UWI_ML)991012587209502124,\\ $a GZN $e rda $c GZN,\\ $a a-io---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Moluksche Archipel, Boeroe / $c 's-Gravenhage, uitgegeven in Juli 1930 door het Ministerie van Defensie, Afdeeling Hydrographie.", ,\\ $a Bijgewerkt ... 1939.,"\\ $a Scale 1:200,000 $c (E 125°53ʹ00ʺ--E 127°42ʹ00ʺ/S 2°44ʹ00ʺ--S 4°00ʹ00ʺ).","\1 $a 's-Gravenhage : $b Ministerie van Defensie, Afdeeling Hydrographie, $c [1939]","\\ $a 1 map ; $c 71 x 103 cm, on sheet 75 x 107 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Relief shown by spot heights and hachures. Depths shown by bathymetric isolines and soundings. | \\ $a Includes 7 inset maps: Baai van Tifoe -- Reede Djikoe Merasa -- Noordelijke, Tomahoe-Eiln. -- Reede Fogi -- Leksoela Baai -- Manipa, Reede Hajasa -- Reede Namlea. | \\ $a Selected lights shown in yellow and red. | \\ $a ""F. Vavasseur & P. Dumas-Vorxet sc."" | \\ $a ""Departement van Defensie, 9 Oct. 1939, Afd. Hydrographie"" -- stamped in lower right margin. | \\ $a ""397.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Indonesia $z Buru Island (Maluku) | \0 $a Coasts $z Indonesia $z Buru Island (Maluku) $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Defensie., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23462/rec/49,\\ $a agslscn agsmap026954 $9 LOCAL
23461,"E1270700,E1273800,S0001300,S0004900",991012587209802124,20220715095037.0,aj#aanzn,171221s1931    ne gdek   a     0   dut d,1\ $a a $b 100000 $d E1270700 $e E1273800 $f S0001300 $g S0004900,\\ $a (OCoLC)1016162660 | \\ $a (OCoLC)on1016162660 | \\ $a (EXLNZ-01UWI_NETWORK)9912421183102121 | \\ $a (01UWI_ML)991012587209802124,\\ $a GZN $e rda $c GZN,\\ $a a-io---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Westkust Halmahera, vaarwaters bewesten Batjan / $c 's-Gravenhage, uitgegeven in Sept. 1928 door het Ministerie van Marine, Afdeeling Hydrographie.", ,\\ $a Bijgewerkt ... 1931.,"\\ $a Scale 1:100,000 $c (E 127°07ʹ00ʺ--E 127°38ʹ00ʺ/S 0°13ʹ00ʺ--S 0°49ʹ00ʺ).","\1 $a 's-Gravenhage : $b Ministerie van Marine, Afdeeling Hydrographie, $c [1931]","\\ $a 1 map ; $c 68 x 59 cm, on sheet 71 x 63 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Relief shown by spot heights and hachures. Depths shown by bathymetric isolines and soundings. | \\ $a Includes 2 inset maps: Zuidtoegang, Straat Sambaki -- Reede Laboeha. | \\ $a ""F. Vavasseur & P. Dumas-Vorxet sc."" | \\ $a ""Departement van Defensie, 5 Dec. 1931, Afd. Hydrographie"" -- stamped in lower right margin. | \\ $a ""392.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Indonesia $z Halmahera. | \0 $a Islands $z Indonesia $z Halmahera $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Marine. | 1\ $a Netherlands. $b Ministerie van Defensie., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23461/rec/47,\\ $a agslscn agsmap026952 $9 LOCAL
23598,"E0041100,E0043900,N0515700,N0514700",991012587210202124,20220715095018.0,aj#canzn,171221s1962    ne eck    a     0   dut d,1\ $a a $b 20000 $d E0041100 $e E0043900 $f N0515700 $g N0514700,\\ $a (OCoLC)1016160765 | \\ $a (OCoLC)on1016160765 | \\ $a (EXLNZ-01UWI_NETWORK)9912421088202121 | \\ $a (01UWI_ML)991012587210202124,\\ $a GZN $e rda $c GZN,\\ $a e-ne---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"03 $a De Maas, Maassluis tot Rotterdam en Dordrecht / $c 's-Gravenhage, uitgegeven in dec 1960 door de Chef der Hydrografie.", ,\\ $a Bijgewerkt ... [19]62.,"\\ $a Scale 1:20,000 $c (E 4°11ʹ00ʺ--E 4°39ʹ00ʺ/N 51°57ʹ00ʺ--N 51°47ʹ00ʺ).","\1 $a 's-Gravenhage : $b Hydrografisch Bureau, $c [1962]","\\ $a 1 map : $b color ; $c 68 x 166 cm, on sheet 71 x 121 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Depths shown by bathymetric isolines, bathymetric tints and soundings. | \\ $a Includes notes and conversion table. | \\ $a Selected lights shown in purple. | \\ $a Map in 2 segments. | \\ $a ""Hydrografisch Bureau, 23 Aug. 1962, 's-Gravenhage"" -- stamped in lower right margin. | \\ $a ""1541.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Meuse River. | \0 $a Deltas $z Meuse River $v Maps. | \0 $a Harbors $z Netherlands $z Rotterdam $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Marine., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23598/rec/110,\\ $a agslscn agsmap026987 $9 LOCAL
23595,"E0035600,E0041600,N0520100,N0515400",991012587210302124,20220715095008.0,aj#canzn,171221s1962    ne eck    a     0   dut d,1\ $a a $b 20000 $d E0035600 $e E0041600 $f N0520100 $g N0515400,\\ $a (OCoLC)1016159833 | \\ $a (OCoLC)on1016159833 | \\ $a (EXLNZ-01UWI_NETWORK)9912421184502121 | \\ $a (01UWI_ML)991012587210302124,\\ $a GZN $e rda $c GZN,\\ $a e-ne---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Rede Hoek van Holland en Rotterdamsche Waterweg, Europoort tot Maassluis / $c 's-Gravenhage, uitgegeven in dec 1960 door de Chef der Hydrografie.", ,\\ $a Bijgewerkt ... [19]62.,"\\ $a Scale 1:20,000 $c (E 3°56ʹ00ʺ--E 4°16ʹ00ʺ/N 52°01ʹ00ʺ--N 51°54ʹ00ʺ).","\1 $a 's-Gravenhage : $b Hydrografisch Bureau, $c [1962]","\\ $a 1 map : $b color ; $c 68 x 117 cm, on sheet 71 x 119 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Depths shown by bathymetric isolines, bathymetric tints and soundings. | \\ $a Includes notes and conversion table. | \\ $a Selected lights shown in purple. | \\ $a ""Hydrografisch Bureau, 23 Aug. 1962, 's-Gravenhage"" -- stamped in lower right margin. | \\ $a ""1540.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Netherlands $z Hoek van Holland. | \0 $a Harbors $z Netherlands $z Rotterdam $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Marine., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23595/rec/107,\\ $a agslscn agsmap026986 $9 LOCAL
23596,"E0033700,E0035600,N0513500,N0512900",991012587210402124,20220715095009.0,aj#canzn,171221s1962    ne eck    a     0   dut d,1\ $a a $b 30000 $d E0033700 $e E0035600 $f N0513500 $g N0512900,\\ $a (OCoLC)1016159387 | \\ $a (OCoLC)on1016159387 | \\ $a (EXLNZ-01UWI_NETWORK)9912421089002121 | \\ $a (01UWI_ML)991012587210402124,\\ $a GZN $e rda $c GZN,\\ $a e-ne---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Veerse Meer en Zandkreek / $c 's-Gravenhage, uitgegeven in sept 1961 door de Chef der Hydrografie.", ,\\ $a Bijgewerkt ... 1962.,"\\ $a Scale 1:30,000 $c (E 3°37ʹ00ʺ--E 3°56ʹ00ʺ/N 51°35ʹ00ʺ--N 51°29ʹ00ʺ).","\1 $a 's-Gravenhage : $b Hydrografisch Bureau, $c [1962]","\\ $a 1 map : $b color ; $c 48 x 68 cm, on sheet 52 x 71 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Depths shown by bathymetric isolines, bathymetric tints and soundings. | \\ $a Includes notes, conversion table, 1 continuation inset map and 1 inset map: Vere. | \\ $a Selected lights shown in purple. | \\ $a ""Hydrografisch Bureau, 23 Aug. 1962, 's-Gravenhage"" -- stamped in lower right margin. | \\ $a ""1537.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Netherlands $z Veere. | \0 $a Coasts $z Netherlands $z Veere $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft,1\ $a Netherlands. $b Afdeling Hydrografie. | 1\ $a Netherlands. $b Ministerie van Marine., ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23596/rec/108,\\ $a agslscn agsmap026985 $9 LOCAL
23600,"E0035900,E0042500,N0512800,N0511100",991012587210502124,20220715095037.0,aj#canzn,171221s1962    ne eck    a     0   dut d,1\ $a a $b 25000 $d E0035900 $e E0042500 $f N0512800 $g N0511100,\\ $a (OCoLC)1016157277 | \\ $a (OCoLC)on1016157277 | \\ $a (EXLNZ-01UWI_NETWORK)9912421090702121 | \\ $a (01UWI_ML)991012587210502124,\\ $a GZN $e rda $c GZN,\\ $a e-ne--- $a e-be---,\\ $a GZNA,1\ $a Netherlands. $b Hydrografisch Bureau.,"00 $a Westerschelde, Hansweerd tot Antwerpen / $c 's-Gravenhage, uitgegeven in juni 1960 door de Chef der Hydrografie.", ,\\ $a Hernieuwde uitgave feb 1962. Bijgewerkt ... 1962.,"\\ $a Scale 1:25,000 $c (E 3°59ʹ00ʺ--E 4°25ʹ00ʺ/N 51°28ʹ00ʺ--N 51°11ʹ00ʺ).","\1 $a 's-Gravenhage : $b Hydrografisch Bureau, $c [1962]","\\ $a 1 map : $b color ; $c 134 x 94 cm, on sheet 71 x 122 cm",\\ $a cartographic image $b cri $2 rdacontent,\\ $a unmediated $b n $2 rdamedia,\\ $a sheet $b nb $2 rdacarrier,"\\ $a Depths shown by bathymetric isolines, bathymetric tints and soundings. | \\ $a Includes notes, conversion table and 1 inset map: Hansweerd. | \\ $a Selected lights shown in purple. | \\ $a Map in two segments. | \\ $a ""Hydrografisch Bureau, 23 Aug. 1962, 's-Gravenhage"" -- stamped in lower right margin. | \\ $a ""1535.""",\\ $a Also available on the Internet through the American Geographical Society Library Digital Map Collection.,\0 $a Nautical charts $z Netherlands $z Westerschelde. | \0 $a Harbors $z Belgium $z Antwerp $v Maps.,\7 $a Nautical charts. $2 lcgft | \7 $a Bathymetric maps. $2 lcgft, , ,41 $u https://collections.lib.uwm.edu/digital/collection/agdm/id/23600/rec/112,\\ $a agslscn agsmap026984 $9 LOCAL
