join,envelope,full_title,short_title,subject,call_num,scan_num,url
1818,"W0790019,W0784957,N0425816,N0424950",Chart of Buffalo Harbor and head of Niagara River with the outlet of Lake Erie,"Buffalo Harbor, New York 1857",Nautical charts,(AGS) (MAPS) 800-b H-var Lake Survey I,als1008,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1818
1847,"W0823800,W0822400,N0423950,N0420500",Chart of Saint Clair River,Lake Survey Charts,Nautical charts,(AGS) (MAPS) 800-b H-var Lake Survey I,als1037,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/1847
2621,"W0153500,E0022000,N0622500,N0472000","The British Islands / compiled from the latest Admiralty surveys, 1867 ; compiled and drawn by E.J. Powell, Hydrographic Office ; engraved by Davies & Bryer",British Islands 1872,Nautical charts--Great Britain;Nautical charts--British Isles;Nautical charts--English Channel;Nautical charts--North Atlantic Ocean;Nautical charts--North Sea;British Isles--Maps;Great Britain--Maps;English Channel--Navigation;North Atlantic Ocean--Navigation;North Sea--Navigation;,BA 2 1872,am015294,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/2621
6075,"W1201200,W1195300,N0391700,N0385400","United States, California--Nevada, Lake Tahoe / U.S Coast and Geodetic Survey","California and Nevada, Lake Tahoe 1959","Nautical charts--Tahoe, Lake (Calif. and Nev.) ; Tahoe, Lake (Calif. and Nev.)--Maps",USC&GS no. 5001,am005558,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6075
6261,"W0771600,W0765600,N0385500,N0383300","Potomac River, Mattawoman Creek to Georgetown / published at Washington, D.C. February 1906 by the Coast and Geodetic Survey, O.H. Tittman, Superintendent",Potomac River 1906,Nautical charts--Potomac River Estuary ; Harbors--Washington (D.C.)--Maps,USC&GS no. 560,am005675,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6261
6219,"W0772200,W0765700,N0383500,N0382000",Potomac River : lower Cedar Point to Mattawoman Creek / C&GS,Potomac River 1907,Nautical charts--Potomac River ; Potomac River--Navigation,USC&GS no. 559,am005793,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6219
6227,"W1171600,W1170400,N0324900,N0323500","San Diego Bay, California / from a trigonometrical survey under the direction of A.D. Bache, Superintendent of the Survey of the Coast of the United States ; triangulation by R.D. Cutts, Asst. ; topography by A.M. Harrison, Sub-Assistant ; hydrography by the party under the command of Comdr. James Alden, U.S.N. Asst","San Diego, California 1888",Nautical charts--California--San Diego Bay ; San Diego Bay (Calif.)--Navigation ; Pacific Coast (Calif.)--Navigation,USC&GS no. 606,am005840,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6227
6209,"W1224200,W1222900,N0474000,N0473100","Port Orchard, Washington : southern part / by the Coast and Geodetic Survey",Washington 1901,"Nautical charts--Washington (State)--Orchard, Port (Bay) ; Orchard, Port (Wash. : Bay)--Bathymetric maps ; Orchard, Port (Wash. : Bay)--Navigation--Maps",USC&GS no. 6444,am005837,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6209
6282,"W1231000,W1221000,N0473500,N0470500","Puget Sound : Seattle to Olympia, Washington","Puget Sound, Washington 1891",Nautical charts--Washington (State)--Puget Sound ; Puget Sound (Wash.)--Maps ; Puget Sound (Wash.)--Navigation,USC&GS no. 6460,am005839,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6282
4631,"W0653000,W0632000,N0460500,N0445500",Chart of the Bay of Fundy / compiled from various manuscript documents in the Hydrographical Office of the Admiralty,Bay of Fundy 1824,"Nautical charts -- Fundy, Bay of",BA 352 1824,am014978,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/4631
6235,"W0805200,W0803800,N0323400,N0322600","Whale Branch passage between Coosaw and Broad Rivers, South Carolina / triangulation by C.O. Boutelle ... ; issued ... C.P. Patterson, Superintendent","Coosaw and Broad Rivers, South Carolina 1876","Nautical charts--South Carolina--Coosaw River ; Nautical charts--South Carolina--Broad River ; Broad River (Jasper County and Beaufort County, S.C.)--Maps ; Coosaw River (S.C.)--Maps",USC&GS no. 437,am005896,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6235
8738,"W0045958,W0044947,N0503600,N0503102","England west coast, Padstow Bay / published at the Admiralty Decr. 6th 1844 ; Engraved by J. & C. Walker Sculpt.","England, west coast 1872",Nautical charts;    Bathymetric maps; Padstow (England) -- Maps; Padstow Bay (England) -- Maps,BA 1686 1872,am022699,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8738
8864,"W0011700,W0002400,N0454600,N0443500","France, west coast, sheet 2, Pte. d'Arcachon to Pte. de la Coubre / published at the Admiralty 10th June 1859 ; Engraved by J. & C. Walker","France, west coast 1895",Nautical charts;    Bathymetric maps; Pointe de la Coubre (France) -- Maps; Pointe d'Arcachon (France) -- Maps; Garonne River (Spain and France) -- Maps; Arcachon Basin (France) -- Maps,BA 2664 1895,am022671,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8864
8853,"E0250600,E0250900,N0352200,N0351900","Mediterranean, Crete, Megalo Kastron or Candia, (Ancient Heraklea) / published at the Admiralty 28th Decr. 1897 ; Engraved by Malby & Sons","Crete, Greece 1898",Nautical charts;    Bathymetric maps; Nautical charts -- Greece -- Maps; Crete (Greece) -- Maps,BA 1904 1898,am022714,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8853
4700,"E0550000,W0550000,N0815300,N0500000","North Polar Chart including the Arctic Seas from the Gulf of Yenisei on the west to Lancaster & Smith Sounds on the east, with Bering Strait and the Pacific Ocean to the 50th parallel / published at the Admiralty ; engraved by Malby & Sons",North Polar Chart 1917,Nautical charts -- North Atlantic Ocean,BA 278 1917,am016621,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/4700
8755,"E0333300,E0354700,N0331100,N0305500","Mediterranean, Coast of Syria, sheet 3, Ras En-Nakúra to El Arish / published at the Admiralty 1st Sept. 1864 ; Engraved by J. & C. Walker",Syria coast 1904,"Nautical charts;    Bathymetric maps; Nahariyah (Israel) -- Maps; ʻArish (Egypt) -- Maps; Jaffa (Tel Aviv, Israel) -- Maps; Dead Sea (Israel and Jordan) -- Maps",BA 2634 1904,am022718,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8755
8085,"W0611250,W0611020,N0144545,N0144200","Mer des Antilles, Île de la Martinique, Rade de Saint-Pierre / carte levée en 1939 ... Service hydrographique de la marine ... 1942",Martinique 1943,Nautical charts -- Martinique -- Saint-Pierre; Harbors -- Martinique -- Saint-Pierre -- Maps; Saint-Pierre (Martinique) -- Maps,French Chart 5930 1943,,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/8085
6672,"E1580000,W1280000,N0720000,N0500000",General chart of Alaska,Alaska 1906,Nautical charts -- Alaska; Alaska -- Maps,USC&GS Chart,am011185,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6672
6730,"W1730000,W1160000,N0610000,N0320000","North America -- west coast, San Diego to Bering Sea",North America 1916,"Nautical charts -- North Pacific Ocean; Nautical charts -- Bering Sea; Nautical charts -- Alaska -- Alaska, Gulf of; Northwest Coast of North America -- Maps",Sailing Chart U,am011182,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/6730
10742,"W0655500,W0560600,S0341500,S0452900","South America, east coast, sheet IV, Rio de la Plata to Cape Dos Bahias / compiled principally from surveys by Captain Robert Fitz Roy, H.M. Surveying Ship ""Beagle"" 1833, with additions from latest Admiralty and foreign government surveys ; published at the Admiralty, 31st Jany. 1902 ; Engraved by Edwd. Weller",Argentina coast 1916,Nautical charts -- Argentina;  Coasts -- Argentina -- Buenos Aires (Province) -- Maps,Nautical Charts (Call Number: BA 1324 1916),agsmap023493,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/10742
11523,"W0623000,W0565500,S0503000,S0531500","República Argentina, Mar Argentino, Islas Malvinas / compilación de levantamientos nacionales y extranjeros ; publicado por la Dirección General de Navegación e Hidrografía del Ministerio de Marina",Islas Malvinas 1956,Nautical charts -- Falkland Islands; Coasts -- Falkland Islands -- Maps,Argentinian Chart,agsmap023495_a,http://cdm17272.contentdm.oclc.org/cdm/ref/collection/agdm/id/11523
