fips,name,west,south,east,north
1,Adams,-90.028827,43.641018,-89.597313,44.249486
3,Ashland,-90.927614,45.980319,-90.300045,47.080775
5,Barron,-92.156851,45.20649,-91.539628,45.64024
7,Bayfield,-91.553769,46.154635,-90.750551,47.003555
9,Brown,-88.252609,44.240384,-87.762439,44.679801
11,Buffalo,-92.084147,44.025378,-91.528748,44.596725
13,Burnett,-92.886908,45.639712,-92.031243,46.157654
15,Calumet,-88.404275,43.891524,-88.041607,44.244104
17,Chippewa,-91.666505,44.856064,-90.922261,45.292159
19,Clark,-90.923237,44.421997,-90.314996,45.033788
21,Columbia,-89.785499,43.280905,-89.004508,43.643671
23,Crawford,-91.215109,42.988175,-90.665859,43.424632
25,Dane,-89.838528,42.845135,-89.008693,43.294177
27,Dodge,-89.009485,43.194712,-88.40027,43.633519
29,Door,-87.736569,44.675147,-86.804798,45.428418
31,Douglas,-92.29327,46.156937,-91.550744,46.757483
33,Dunn,-92.157086,44.68358,-91.649657,45.20947
35,Eau Claire,-91.650493,44.5958,-90.921139,44.857728
37,Florence,-88.684214,45.713039,-88.058229,46.021212
39,Fond du Lac,-88.886057,43.542853,-88.159975,43.937818
41,Forest,-89.047913,45.37692,-88.425359,46.073516
43,Grant,-91.156855,42.507164,-90.425757,43.211574
45,Green,-89.838634,42.500062,-89.365805,42.857662
47,Green Lake,-89.245593,43.631814,-88.885186,43.983469
49,Iowa,-90.429984,42.813031,-89.837998,43.209766
51,Iron,-90.552284,45.98149,-89.928308,46.590043
53,Jackson,-91.166306,44.070894,-90.312528,44.596915
55,Jefferson,-89.013552,42.842474,-88.535941,43.197939
57,Juneau,-90.313353,43.640937,-89.785168,44.249441
59,Kenosha,-88.305963,42.492489,-87.802177,42.669775
61,Kewaunee,-87.766094,44.327089,-87.375068,44.676973
63,La Crosse,-91.425355,43.724846,-90.910095,44.090695
65,Lafayette,-90.426914,42.505637,-89.837227,42.8149
67,Langlade,-89.425965,45.028817,-88.638278,45.470075
69,Lincoln,-90.046923,45.119096,-89.424305,45.555866
71,Manitowoc,-88.043741,43.891559,-87.50693,44.327599
73,Marathon,-90.316952,44.681264,-89.223405,45.120559
75,Marinette,-88.428091,44.965637,-87.489973,45.795618
77,Marquette,-89.599915,43.642605,-89.167529,43.982957
78,Menominee,-88.9822,44.85546,-88.483623,45.118051
79,MilwaukeeCounty,-88.069979,42.842004,-87.825193,43.192568
81,Monroe,-90.978394,43.725404,-90.311756,44.161048
83,Oconto,-88.680093,44.672282,-87.760159,45.378593
85,Oneida,-90.045324,45.464744,-89.046459,45.9015
87,Outagamie,-88.739836,44.241974,-88.189979,44.590677
89,Ozaukee,-88.063891,43.192048,-87.79061,43.54344
91,Pepin,-92.316234,44.4074,-91.650285,44.684389
93,Pierce,-92.808331,44.539412,-92.134824,44.862661
95,Polk,-92.889241,45.209148,-92.154356,45.728714
97,Portage,-89.845408,44.243372,-89.223156,44.68588
99,Price,-90.679761,45.376802,-90.042066,45.982276
101,Racine,-88.307956,42.610755,-87.75751,42.843597
103,Richland,-90.671655,43.164023,-90.191696,43.554984
105,Rock,-89.369274,42.491966,-88.776033,42.847641
107,Rusk,-91.541199,45.29151,-90.678034,45.639099
109,Saint Croix,-92.803242,44.857785,-92.135158,45.210233
111,Sauk,-90.312632,43.145397,-89.599703,43.642111
113,Sawyer,-91.551891,45.637535,-90.676334,46.157908
115,Shawano,-89.224477,44.584735,-88.242716,45.029596
117,Sheboygan,-88.16223,43.542422,-87.695544,43.892477
119,Taylor,-90.925947,45.030942,-90.042066,45.382597
121,Trempealeau,-91.612842,43.98418,-91.151988,44.597041
123,Vernon,-91.273263,43.422345,-90.311047,43.731497
125,Vilas,-90.044805,45.856553,-88.932651,46.299886
127,Walworth,-88.778847,42.491966,-88.304648,42.843029
129,Washburn,-92.050706,45.63762,-91.540256,46.157908
131,Washington,-88.419248,43.191881,-88.039948,43.543532
133,Waukesha,-88.542204,42.841945,-88.063371,43.196103
135,Waupaca,-89.224788,44.242611,-88.605171,44.681362
137,Waushara,-89.598169,43.982114,-88.885831,44.245671
139,Winnebago,-88.886719,43.892899,-88.402943,44.244159
141,Wood,-90.317989,44.247631,-89.72449,44.685376
4001,Wisconsin,-92.889241,42.491966,-86.804798,47.080775
1001,Fitchburg,-89.512,42.9728,-89.368,43.0254
1002,Madison,-89.5116,42.9973,-89.2083,43.1331
1003,Wisconsin Rapids,-89.856,44.3521,-89.7791,44.4321
1004,Milwaukee,-88.0655,42.9645,-87.8123,43.1989
1005,Sun Prairie,-89.2706,43.14,-89.1707,43.21
2001,East Central Wisconsin Regional Planning Commission,-89.837,43.136,-88.045,44.923
2002,Southeastern Wisconsin Regional Planning Commission,-89.5994,42.4919,-87.7913,43.7351
3001,Great Lakes Region,-92.1944,41.3606,-78.9314,49.3844
3002,Lake Superior,-92.1944,46.0,-84.0,49.3844
3003,Lake Michigan,-88.0,41.3606,-86.2495,45.1075
3004,Lake Huron,-84.8079,43.0,-81.25,46.25
3005,Lake Erie,-83.0,41.0,-78.9314,42.8
3006,Lake Ontario,-79.5,43.2,-76.0,44.0
